Product_Number,Description,V,R,L,inertia,mass,k_t,k_e,I_nom,omega_nl,I_nl,R_wh,R_ha,omega_max,Stall_torque,Price
597974,"EC 90 flat Ø90 mm, brushless, 600 W, with Hall sensors",30,0.28,0.000369,0.00051,0.98,0.136,0.136,10.5,217.817090648892,0.493,0.848,0.867,523.598775598299,14.6,218.82
606793,"EC-i 52 Ø52 mm, brushless, 200 W, with Hall sensors",24,0.119,0.000149,2.64e-05,1.1,0.068,0.068,9.36,349.763982099664,0.657,0.53,4.02,523.598775598299,13.8,373.18
607930,"EC 90 flat Ø90 mm, brushless, 400 W, with Hall sensors",30,0.28,0.000369,0.000476,0.96,0.136,0.136,8.73,217.817090648892,0.475,1.02,1.37,523.598775598299,14.6,212.73
607942,"EC 90 flat Ø90 mm, brushless, 220 W, with Hall sensors",24,0.216,0.000232,0.000287,0.62,0.0712,0.0712,9.44,331.961623729321,0.658,1.13,1.37,523.598775598299,7.91,176.09
607950,"EC 90 flat Ø90 mm, brushless, 360 W, with Hall sensors EC 90 flat Ø90 mm, brushless, 360 W, with Hall sensors",24,0.216,0.000232,0.000321,0.63,0.0701,0.0701,12,336.150413934108,0.696,0.923,0.675,523.598775598299,7.8,181
614949,"EC 60 flat Ø60 mm, brushless, 200 W, with Hall sensors",24,0.293,0.000279,8.32e-05,0.36,0.0525,0.0525,9.28,450.294947014537,0.497,0.843,1.22,628.318530717959,4.3,114.36
625855,"EC 60 flat Ø60 mm, brushless, 100 W, with Hall sensors",24,0.293,0.000279,8.35e-05,0.35,0.0525,0.0525,5.14,450.294947014537,0.493,3.8,2.5,628.318530717959,4.3,102.64
625858,"EC 60 flat Ø60 mm, brushless, 150 W, with Hall sensors",24,0.293,0.000279,8.1e-05,0.35,0.0525,0.0525,7.25,450.294947014537,0.497,1.48,1.94,628.318530717959,4.3,107.82
634043,"EC-i 52 Ø52 mm, brushless, 200 W, with Hall sensors",48,0.24,0.000424,2.64e-05,1.1,0.115,0.115,5.44,415.737427825049,0.419,0.53,4.02,523.598775598299,22.9,373.18
642221,"EC 60 flat Ø60 mm, brushless, 200 W, with Hall sensors and cables",24,0.293,0.000279,8.32e-05,0.37,0.0525,0.0525,9.28,450.294947014537,0.497,0.843,1.22,628.318530717959,4.3,118
unknown_1,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",3,0.766,5e-06,7.03e-10,0.003,0.00037,0.00037,1.24,7791.14978090269,0.149,13.2,65.8,10471.975511966,0.00145,207.09
unknown_2,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",3,0.686,5e-06,7.03e-10,0.003,0.00037,0.00037,1.24,7822.56570743858,0.149,13.2,65.8,10471.975511966,0.00162,178.09
unknown_3,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",6,3.49,3e-05,7.03e-10,0.003,0.000882,0.000882,0.517,6565.92864600267,0.0588,13.2,65.8,10471.975511966,0.00152,207.09
unknown_4,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",6,3.41,3e-05,7.03e-10,0.003,0.000882,0.000882,0.517,6565.92864600267,0.0589,13.2,65.8,10471.975511966,0.00155,178.09
unknown_5,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",12,12.4,0.000118,7.03e-10,0.003,0.00175,0.00175,0.268,6639.23247458643,0.0298,13.2,65.8,10471.975511966,0.0017,207.09
unknown_6,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",12,12.3,0.000118,7.03e-10,0.003,0.00175,0.00175,0.268,6639.23247458643,0.0298,13.2,65.8,10471.975511966,0.00171,178.09
unknown_7,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",6,8.72,6.5e-05,7.03e-10,0.003,0.00121,0.00121,0.314,4628.61317628896,0.0465,16.8,67.1,10471.975511966,0.000832,178.36
unknown_8,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",6,8.64,6.5e-05,7.03e-10,0.003,0.00121,0.00121,0.314,4628.61317628896,0.0465,16.8,67.1,10471.975511966,0.000839,150.18
unknown_9,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",12,63.8,0.000436,7.03e-10,0.003,0.00314,0.00314,0.116,3487.16784548467,0.0162,16.8,67.1,10471.975511966,0.00059,178.36
unknown_10,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",12,63.8,0.000436,7.03e-10,0.003,0.00312,0.00312,0.116,3508.1117965086,0.0163,16.8,67.1,10471.975511966,0.000588,150.18
110045,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, with terminals",12,23.1,0.00083,8.49e-08,0.021,0.00917,0.00917,0.243,1288.05298797182,0.00954,5.5,29.8,1989.67534727354,0.00477,39.18
110049,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, with terminals",24,76.2,0.00261,8.16e-08,0.021,0.0163,0.0163,0.134,1445.1326206513,0.00583,5.5,29.8,1989.67534727354,0.00512,39.18
110056,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, with terminals",12,31.1,0.00113,8.59e-08,0.022,0.0107,0.0107,0.209,1078.6134777325,0.0154,5.5,29.8,1151.91730631626,0.00413,39.55
110069,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals",21,76.1,0.00261,8.16e-08,0.021,0.0163,0.0163,0.162,1183.33323285216,0.023,5.5,29.8,1246.16508592395,0.00449,42.45
110089,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, with terminals",24,79.7,0.00387,1.99e-07,0.033,0.0254,0.0254,0.138,928.864227911382,0.00573,10.5,21.3,1675.51608191456,0.00763,42.27
110095,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, with terminals",7.2,13.8,0.000719,2.09e-07,0.034,0.0109,0.0109,0.332,641.932098883514,0.014,10.5,21.3,1047.1975511966,0.00568,43.09
110121,"A-max 22 Ø22 mm, Precious Metal Brushes CLL, 5 Watt, with terminals",12,5.39,0.000362,4.36e-07,0.054,0.0109,0.0109,0.586,1089.08545324446,0.0168,6,20,1675.51608191456,0.0243,45
110125,"A-max 22 Ø22 mm, Precious Metal Brushes CLL, 5 Watt, with terminals",24,21.2,0.00137,4.2e-07,0.054,0.0212,0.0212,0.294,1120.50137978036,0.00881,6,20,1675.51608191456,0.024,45
110128,"A-max 22 Ø22 mm, Precious Metal Brushes CLL, 5 Watt, with terminals",48,122,0.00729,3.97e-07,0.054,0.0489,0.0489,0.123,971.799327510443,0.00347,6,20,1675.51608191456,0.0193,45
110147,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with terminals",12,5.53,0.000363,4.29e-07,0.054,0.0109,0.0109,0.681,1068.14150222053,0.0458,6,20,1026.25360017267,0.0237,47.18
110151,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with terminals",24,21.5,0.00137,4.13e-07,0.054,0.0212,0.0212,0.347,1099.55742875643,0.0237,6,20,1026.25360017267,0.0237,47.18
110164,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with terminals",24,21.5,0.00137,4.2e-07,0.054,0.0212,0.0212,0.347,1099.55742875643,0.0237,6,20,1026.25360017267,0.0237,48.09
110212,"A-max 26 Ø26 mm, Precious Metal Brushes CLL, 4.5 Watt, with terminals",24,30.1,0.00299,1.25e-06,0.11,0.0503,0.0503,0.312,472.286095589666,0.00845,3.2,13.2,701.62235930172,0.0401,96.45
110940,"A-max 26 Ø26 mm, Graphite Brushes, 11 Watt, with terminals",24,7.36,0.00077,1.31e-06,0.11,0.0255,0.0255,0.749,930.958623013775,0.0317,3.2,13.2,1089.08545324446,0.0833,114.18
118889,"EC 32 Ø32 mm, brushless, 80 Watt, with Hall sensors",24,1.39,0.000226,2e-06,0.27,0.0205,0.0205,2.46,1151.91730631626,0.199,2.5,5.4,2617.99387799149,0.355,292.82
118890,"EC 32 Ø32 mm, brushless, 80 Watt, with Hall sensors",48,5.43,0.000856,2e-06,0.27,0.04,0.04,1.23,1183.33323285216,0.104,2.5,5.4,2617.99387799149,0.353,292.82
148867,"RE 40 Ø40 mm, Graphite Brushes, 150 Watt",24,0.299,8.2e-05,1.42e-05,0.48,0.0302,0.0302,6,793.775743807021,0.137,1.93,4.65,1256.63706143592,2.42,347.73
148877,"RE 40 Ø40 mm, Graphite Brushes, 150 Watt",48,1.13,0.00033,1.37e-05,0.48,0.0603,0.0603,3.17,794.822941358218,0.0686,1.93,4.65,1256.63706143592,2.56,347.73
200142,"EC 45 flat Ø42.9 mm, brushless, 30 Watt, with Hall sensors",12,1.24,0.00056,9.25e-06,0.075,0.0255,0.0255,2.02,456.578132321717,0.163,3.92,6.73,1047.1975511966,0.247,73
236662,"A-max 32 Ø32 mm, Graphite Brushes, 20 Watt, with terminals",24,3.99,0.000556,4.53e-06,0.24,0.0352,0.0352,1.33,676.489618073002,0.0428,2.1,7.5,628.318530717959,0.212,158.64
236670,"A-max 32 Ø32 mm, Graphite Brushes, 20 Watt, with terminals",30,7.02,0.000954,4.42e-06,0.24,0.0461,0.0461,1.01,645.073691537104,0.0323,2.1,7.5,628.318530717959,0.197,159.91
236679,"EC 14 flat Ø13.6 mm, brushless, 1.5 Watt, sensorless",18,38,0.000962,1.1e-07,0.008,0.0076,0.0076,0.256,2083.92312688123,0.0517,11.3,11.6,2303.83461263252,0.0036,74.27
249987,"A-max 19 Ø19 mm, Graphite Brushes, 2.5 Watt, with terminals",12,13.8,0.000719,2.12e-07,0.033,0.0109,0.0109,0.397,1039.86716833822,0.0446,10.5,21.3,1256.63706143592,0.00947,47.09
251601,"EC 45 flat Ø42.8 mm, brushless, 50 Watt, with Hall sensors",24,1.03,0.000572,1.35e-05,0.11,0.0335,0.0335,2.33,702.669556852917,0.185,4.75,4.53,1047.1975511966,0.78,107
265376,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.75 Watt, with cable",9,40.9,0.00101,2.38e-08,0.011,0.00692,0.00692,0.141,1267.10903694788,0.00587,15,44.5,1989.67534727354,0.00152,46.55
265378,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.75 Watt, with cable",15,116,0.00213,1.83e-08,0.011,0.01,0.01,0.0836,1445.1326206513,0.0042,15,44.5,1989.67534727354,0.00129,46.55
265392,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.5 Watt, with cable",12,71.6,0.00174,2.35e-08,0.012,0.00906,0.00906,0.106,1267.10903694788,0.00738,15,44.5,1466.07657167524,0.00152,47.09
267121,"EC 32 flat Ø32 mm, brushless, 15 Watt, with Hall sensors",24,13.8,0.00772,3.5e-06,0.057,0.049,0.049,0.5,474.380490692059,0.0369,4.99,10.8,1047.1975511966,0.0853,71.36
272763,"EC-max 30 Ø30 mm, brushless, 60 Watt, with Hall sensors",24,1.27,0.000143,2.19e-06,0.3,0.0243,0.0243,2.66,978.082512817622,0.231,0.5,7.4,1570.7963267949,0.458,236
272765,"EC-max 30 Ø30 mm, brushless, 60 Watt, with Hall sensors",48,4.49,0.000573,2.19e-06,0.3,0.0486,0.0486,1.4,979.129710368819,0.0954,0.5,7.4,1570.7963267949,0.519,236
272768,"EC-max 30 Ø30 mm, brushless, 40 Watt, with Hall sensors",24,3.65,0.00031,1.1e-06,0.19,0.0243,0.0243,1.49,968.657734856853,0.151,1,8.6,1570.7963267949,0.16,181.45
272770,"EC-max 30 Ø30 mm, brushless, 40 Watt, with Hall sensors",48,14.8,0.00124,1.1e-06,0.19,0.0486,0.0486,0.738,968.657734856853,0.0613,1,8.6,1570.7963267949,0.157,181.45
283828,"EC-max 16 Ø16 mm, brushless, 5 Watt, with Hall sensors",12,15.7,0.000254,4.28e-08,0.036,0.0078,0.0078,0.456,1413.71669411541,0.0602,2.57,23.5,2094.3951023932,0.00595,152.36
283833,"EC-max 16 Ø16 mm, brushless, 8 Watt, with Hall sensors",12,5.3,0.00014,8.5e-08,0.052,0.00932,0.00932,0.909,1246.16508592395,0.0642,1.41,17.7,2094.3951023932,0.0211,180.09
283835,"EC-max 16 Ø16 mm, brushless, 8 Watt, with Hall sensors",24,20.5,0.000566,8.5e-08,0.052,0.0187,0.0187,0.461,1246.16508592395,0.0319,1.41,17.7,2094.3951023932,0.022,180.09
283838,"EC-max 22 Ø22 mm, brushless, 12 Watt, with Hall sensors",12,3.46,0.000121,2.25e-07,0.083,0.00902,0.00902,1.25,1267.10903694788,0.155,1.72,13.5,1884.95559215388,0.0313,152.73
283840,"EC-max 22 Ø22 mm, brushless, 12 Watt, with Hall sensors",24,12.4,0.000488,2.25e-07,0.083,0.0181,0.0181,0.657,1267.10903694788,0.0773,1.72,13.5,1884.95559215388,0.0351,152.73
283858,"EC-max 22 Ø22 mm, brushless, 25 Watt, with Hall sensors",24,3.44,0.000182,4.45e-07,0.12,0.0174,0.0174,1.4,1350.88484104361,0.121,1.02,10.2,1884.95559215388,0.121,188.45
283860,"EC-max 22 Ø22 mm, brushless, 25 Watt, with Hall sensors",48,13.1,0.000729,4.45e-07,0.11,0.0348,0.0348,0.716,1350.88484104361,0.0604,1.02,10.2,1884.95559215388,0.127,188.45
283867,"EC-max 40 Ø40 mm, brushless, 70 Watt, with Hall sensors",24,1.35,0.000186,5.12e-06,0.46,0.028,0.028,3.44,841.946831162065,0.337,0.542,4.63,1256.63706143592,0.497,248.82
283869,"EC-max 40 Ø40 mm, brushless, 70 Watt, with Hall sensors",48,3.78,0.000592,5.12e-06,0.46,0.05,0.05,2.02,945.619388730528,0.173,0.542,4.63,1256.63706143592,0.636,248.82
283873,"EC-max 40 Ø40 mm, brushless, 120 Watt, with Hall sensors",48,7.19,0.0016,1.01e-05,0.72,0.126,0.126,1.74,378.038315981972,0.0727,0.29,3.45,1256.63706143592,0.838,372.91
305013,"EC-4pole 30 Ø30 mm, brushless, 200 Watt",24,0.102,1.6e-05,3.33e-06,0.3,0.0137,0.0137,7.61,1748.81991049832,0.723,0.209,7.4,2617.99387799149,3.24,645.09
305015,"EC-4pole 30 Ø30 mm, brushless, 200 Watt",48,0.386,6.5e-05,3.33e-06,0.3,0.0276,0.0276,3.68,1727.87595947439,0.356,0.209,7.4,2617.99387799149,3.43,645.09
309756,"EC-4pole 30 Ø30 mm, brushless, 100 Watt",24,0.248,3e-05,1.83e-06,0.21,0.0131,0.0131,5.56,1832.59571459405,0.379,0.74,8.96,2617.99387799149,1.27,561.27
309758,"EC-4pole 30 Ø30 mm, brushless, 100 Watt",48,0.836,0.000118,1.83e-06,0.21,0.0261,0.0261,2.95,1832.59571459405,0.189,0.74,8.96,2617.99387799149,1.5,561.27
311536,"EC-4pole 22 Ø22 mm, brushless, 120 Watt",24,0.341,3.1e-05,8.91e-07,0.17,0.0135,0.0135,4.2,1769.76386152225,0.223,0.7,10.7,2617.99387799149,0.954,525.82
311538,"EC-4pole 22 Ø22 mm, brushless, 120 Watt",48,1.27,0.000123,8.91e-07,0.17,0.0271,0.0271,2.1,1769.76386152225,0.112,0.7,10.7,2617.99387799149,1.02,525.82
315173,"EC 10 Ø10 mm, brushless, 8 Watt, with Hall sensors",18,3.42,6.7e-05,6.91e-09,0.013,0.00297,0.00297,0.6,5979.49801733257,0.0673,5.1,39.8,6806.78408277788,0.0156,226.82
323218,"EC-4pole 22 Ø22 mm, brushless, 90 Watt",24,0.527,5e-05,5.54e-07,0.12,0.014,0.014,3.34,1706.93200845045,0.166,1.19,12.2,2617.99387799149,0.639,469.45
323219,"EC-4pole 22 Ø22 mm, brushless, 90 Watt",36,1.24,0.000113,5.54e-07,0.12,0.0211,0.0211,2.16,1706.93200845045,0.11,1.19,12.2,2617.99387799149,0.612,469.45
323220,"EC-4pole 22 Ø22 mm, brushless, 90 Watt",48,2.3,0.000201,5.54e-07,0.12,0.0281,0.0281,1.58,1706.93200845045,0.0828,1.19,12.2,2617.99387799149,0.586,469.45
339281,"EC 45 flat Ø42.9 mm, brushless, 30 Watt, with Hall sensors",24,4.87,0.00224,9.25e-06,0.075,0.051,0.051,1.01,456.578132321717,0.0814,3.92,6.7,1047.1975511966,0.251,73
339287,"EC 45 flat Ø42.8 mm, brushless, 50 Watt, with Hall sensors",36,7.48,0.00515,1.35e-05,0.11,0.101,0.101,0.828,351.858377202057,0.0423,4.25,6.23,1047.1975511966,0.484,107
350909,"EC 45 flat Ø45 mm, brushless, 30 Watt, with integrated electronics",24,0.201,0.000322,1.35e-05,0.22,0.0251,0.0251,2.65,628.318530717959,0.209,7.68,5.6,678.584013175395,0.111,181.64
351008,"EC 20 flat Ø20 mm, brushless, 5 Watt, with Hall sensors",24,28.6,0.00309,5.1e-07,0.022,0.0238,0.0238,0.329,973.893722612836,0.0251,2.66,16.6,1570.7963267949,0.0199,83.27
353295,"RE 65 Ø65 mm, Graphite Brushes, 250 Watt",24,0.0821,3.1e-05,0.000129,2.1,0.0537,0.0537,10,428.303798439408,0.697,1.85,1.3,575.958653158129,15.7,722.64
353297,"RE 65 Ø65 mm, Graphite Brushes, 250 Watt",48,0.365,0.000161,0.000134,2.1,0.123,0.123,6.8,384.321501289151,0.289,1.85,1.3,575.958653158129,16.1,722.64
370416,"EC 20 flat Ø20 mm, brushless, 5 Watt, with integrated electronics, with cover",24,7.48,0.00262,5.1e-07,0.037,0.0181,0.0181,0.313,628.318530717959,0.0322,5.32,10.6,678.584013175395,0.0132,145.27
370418,"EC 32 flat Ø32 mm, brushless, 15 Watt, with integrated electronics, with cover",24,1.34,0.00161,3.5e-06,0.091,0.0224,0.0224,0.678,628.318530717959,0.0837,5.92,7.55,678.584013175395,0.0358,166.91
370427,"EC 45 flat Ø45 mm, brushless, 50 Watt, with integrated electronics, with cover",24,0.264,0.000413,1.81e-05,0.26,0.0357,0.0357,2.85,471.238898038469,0.191,6.7,4.79,1047.1975511966,0.157,188.27
393023,"EC 40 Ø40 mm, brushless, 170 Watt, with Hall sensors",24,0.209,8.4e-05,5.38e-06,0.58,0.0232,0.0232,7.39,1030.44239037745,0.385,1.05,5.21,1884.95559215388,2.66,501.91
393025,"EC 40 Ø40 mm, brushless, 170 Watt, with Hall sensors",48,0.806,0.000337,5.38e-06,0.58,0.0464,0.0464,3.69,1030.44239037745,0.193,1.05,5.21,1884.95559215388,2.76,501.91
397172,"EC 45 flat Ø42.8 mm, brushless, 70 Watt, with Hall sensors",24,0.608,0.000463,1.81e-05,0.14,0.0369,0.0369,3.21,639.837703781121,0.234,4.1,3.56,1047.1975511966,1.46,116.73
402687,"EC 45 flat Ø42.8 mm, brushless, 70 Watt, with Hall sensors",48,6.89,0.00585,1.81e-05,0.14,0.131,0.131,0.936,360.23595761163,0.0481,3.83,4.77,1047.1975511966,0.915,116.73
449464,"EC-i 40 Ø40 mm, brushless, 50 Watt, with Hall sensors",24,0.501,0.00039,1.05e-06,0.17,0.0169,0.0169,2.8,1382.30076757951,0.285,2.57,9.66,1570.7963267949,0.81,184.73
449470,"EC-i 40 Ø40 mm, brushless, 70 Watt, with Hall sensors",36,0.778,0.000644,2.42e-06,0.24,0.0315,0.0315,2.43,1120.50137978036,0.192,2.6,7.8,1570.7963267949,1.46,196.18
496651,"EC-i 40 Ø40 mm, brushless, 50 Watt, with Hall sensors",18,0.455,0.000255,1.28e-06,0.18,0.0217,0.0217,2.93,815.76689238215,0.289,3.77,9.91,1047.1975511966,0.858,210
496652,"EC-i 40 Ø40 mm, brushless, 50 Watt, with Hall sensors",36,1.44,0.00115,1.28e-06,0.18,0.0461,0.0461,1.61,769.690200129499,0.131,3.77,9.91,1047.1975511966,1.15,210
496654,"EC-i 40 Ø40 mm, brushless, 70 Watt, with Hall sensors",18,0.199,0.000113,2.3e-06,0.25,0.0217,0.0217,4.87,821.002880138133,0.448,2.27,8.17,1047.1975511966,1.96,229.27
496655,"EC-i 40 Ø40 mm, brushless, 70 Watt, with Hall sensors",36,0.591,0.000512,2.3e-06,0.25,0.0461,0.0461,2.73,773.878990334286,0.205,2.27,8.17,1047.1975511966,2.8,229.27
496660,"EC-i 40 Ø40 mm, brushless, 100 Watt, with Hall sensors",18,0.236,0.000169,4.4e-06,0.39,0.0375,0.0375,5.46,475.427688243255,0.352,1.35,7.17,837.758040957278,2.86,244
496661,"EC-i 40 Ø40 mm, brushless, 100 Watt, with Hall sensors",36,0.853,0.000675,4.4e-06,0.39,0.0749,0.0749,2.72,476.474885794452,0.176,1.35,7.17,837.758040957278,3.16,244
500267,"EC 90 flat Ø90 mm, brushless, 260 W, with Hall sensors",48,0.844,0.00107,0.000506,0.98,0.231,0.231,4.06,205.250720034533,0.278,1.82,1.78,523.598775598299,13.1,202.82
500269,"EC 90 flat Ø90 mm, brushless, 260 W, with Hall sensors",18,0.0983,0.000133,0.000506,0.98,0.0807,0.0807,12.1,220.958683302482,0.83,1.82,1.73,523.598775598299,14.8,202.82
515458,"EC 90 flat Ø90 mm, brushless, 160 W, with Hall sensors",24,0.216,0.000232,0.000317,0.63,0.0712,0.0712,6.39,331.961623729321,0.658,3.71,1.75,523.598775598299,7.91,167.18
539473,"EC-i 30 Ø30 mm, brushless, 30 W, with Hall sensors",24,1.64,0.00112,7.3e-07,0.15,0.0246,0.0246,1.52,962.374549549673,0.103,3.75,11.1,1570.7963267949,0.36,159.91
539477,"EC-i 30 Ø30 mm, brushless, 50 W, with Hall sensors",24,0.713,0.000475,1.38e-06,0.24,0.0228,0.0228,2.48,1043.00876099181,0.169,2.46,9.01,1570.7963267949,0.768,183.64
539482,"EC-i 30 Ø30 mm, brushless, 45 W, with Hall sensors",24,0.787,0.000749,8.1e-07,0.15,0.0266,0.0266,2.28,892.212313619501,0.143,3.75,11.1,1047.1975511966,0.811,183.18
539487,"EC-i 30 Ø30 mm, brushless, 75 W, with Hall sensors",24,0.38,0.00039,1.55e-06,0.24,0.0286,0.0286,3.64,832.522053201295,0.223,2.46,9.01,1047.1975511966,1.8,215.91
574741,"EC-i 52 Ø52 mm, brushless, 180 W, with Hall sensors",24,0.0948,0.000123,1.7e-05,0.82,0.0481,0.0481,8.96,494.277244164794,0.716,0.63,4.32,628.318530717959,12.2,288.27
578296,"RE 50 Ø50 mm, Graphite Brushes, 200 Watt",24,0.103,7.2e-05,5.36e-05,1.1,0.0385,0.0385,10.8,623.082542961976,0.236,1.24,3.59,994.837673636768,8.92,428
578298,"RE 50 Ø50 mm, Graphite Brushes, 200 Watt",48,0.608,0.000423,5.42e-05,1.1,0.0934,0.0934,4.58,513.126800086333,0.0884,1.24,3.59,994.837673636768,7.37,428
579165,"EC-i 52 Ø52 mm, brushless, 180 W, with Hall sensors",48,0.288,0.00045,1.7e-05,0.82,0.0919,0.0919,4.56,518.362787842316,0.384,0.63,4.32,628.318530717959,15.3,288.27
580047,"EC 90 flat Ø90 mm, brushless, 160 W, with Hall sensors",60,2.03,0.00215,0.000317,0.63,0.217,0.217,2.1,272.271363311115,0.197,3.62,1.95,523.598775598299,6.41,167.18
624163,"EC 9.2 flat Ø10 mm, brushless, 0.5 Watt, with Hall sensors",6,18.1,0.0004,2.37e-08,0.003,0.0033,0.0033,0.222,1633.62817986669,0.0311,13.2,49.2,2617.99387799149,0.0011,106.36
unknown_11,"DC-max 16 S Ø16 mm, CLL precious metal brushes, sintered bearings",6,4.1,0.00014,1.12e-07,0.023,0.00719,0.00719,0.577,826.238867894116,0.0147,5.5,29.8,1151.91730631626,0.0105,59.73
unknown_12,"DC-max 16 S Ø16 mm, CLL precious metal brushes, sintered bearings",12,19.1,0.00061,1.05e-07,0.023,0.015,0.015,0.267,791.681348704628,0.0069,5.5,29.8,1151.91730631626,0.00944,59.73
unknown_13,"DC-max 16 S Ø16 mm, CLL precious metal brushes, sintered bearings",24,83.2,0.00249,9.94e-08,0.023,0.0303,0.0303,0.128,782.256570743858,0.0034,5.5,29.8,1151.91730631626,0.00875,59.73
unknown_14,"DC-max 16 S Ø16 mm, graphite brushes, sintered bearings",6,2.79,8.6e-05,1e-07,0.023,0.00562,0.00562,0.72,1033.58398303104,0.0673,5.5,29.8,1151.91730631626,0.0121,61.64
unknown_15,"DC-max 16 S Ø16 mm, graphite brushes, sintered bearings",12,11.4,0.000343,9.93e-08,0.023,0.0112,0.0112,0.413,1032.53678547985,0.0336,5.5,29.8,1151.91730631626,0.0119,61.64
unknown_16,"DC-max 16 S Ø16 mm, graphite brushes, sintered bearings",24,37.5,0.00137,1.16e-07,0.023,0.0225,0.0225,0.227,1038.81997078702,0.0168,5.5,29.8,1151.91730631626,0.0144,61.64
unknown_17,"DC-max 22 S Ø22 mm, CLL precious metal brushes, ball bearings",6,1.6,0.000119,5.7e-07,0.053,0.0104,0.0104,0.84,574.911455606932,0.0189,6,20,942.477796076938,0.039,68.18
unknown_18,"DC-max 22 S Ø22 mm, CLL precious metal brushes, ball bearings",12,6.28,0.000413,4.98e-07,0.053,0.0193,0.0193,0.541,616.799357654796,0.0105,6,20,942.477796076938,0.0369,68.18
unknown_19,"DC-max 22 S Ø22 mm, CLL precious metal brushes, ball bearings",24,33.3,0.00221,5.05e-07,0.053,0.0448,0.0448,0.235,533.023553559068,0.00422,6,20,942.477796076938,0.0323,68.18
unknown_20,"DC-max 22 S Ø22 mm, CLL precious metal brushes, sintered bearings",6,1.6,0.000119,5.7e-07,0.053,0.0104,0.0104,0.84,573.864258055735,0.0208,6,20,942.477796076938,0.039,63.27
unknown_21,"DC-max 22 S Ø22 mm, CLL precious metal brushes, sintered bearings",12,6.28,0.000413,4.98e-07,0.053,0.0193,0.0193,0.542,616.799357654796,0.0117,6,20,942.477796076938,0.0369,63.27
unknown_22,"DC-max 22 S Ø22 mm, CLL precious metal brushes, sintered bearings",24,33.3,0.00221,5.05e-07,0.053,0.0448,0.0448,0.236,533.023553559068,0.00462,6,20,942.477796076938,0.0323,63.27
unknown_23,"DC-max 22 S Ø22 mm, graphite brushes, ball bearings",6,1.11,6.9e-05,5.07e-07,0.053,0.00788,0.00788,1.49,737.227076042405,0.0564,6,20,942.477796076938,0.0424,70.09
unknown_24,"DC-max 22 S Ø22 mm, graphite brushes, ball bearings",12,3.83,0.000274,5.57e-07,0.053,0.0158,0.0158,0.819,747.699051554371,0.0283,6,20,942.477796076938,0.0494,70.09
unknown_25,"DC-max 22 S Ø22 mm, graphite brushes, ball bearings",24,16.6,0.00105,4.69e-07,0.053,0.0308,0.0308,0.397,768.643002578303,0.0145,6,20,942.477796076938,0.0446,70.09
unknown_26,"DC-max 22 S Ø22 mm, graphite brushes, sintered bearings",6,1.11,6.9e-05,5.07e-07,0.053,0.00788,0.00788,1.49,736.179878491208,0.0588,6,20,942.477796076938,0.0424,65.18
unknown_27,"DC-max 22 S Ø22 mm, graphite brushes, sintered bearings",12,3.83,0.000274,5.57e-07,0.053,0.0158,0.0158,0.818,747.699051554371,0.0295,6,20,942.477796076938,0.0494,65.18
unknown_28,"DC-max 22 S Ø22 mm, graphite brushes, sintered bearings",24,16.6,0.00105,4.69e-07,0.053,0.0308,0.0308,0.397,767.595805027106,0.0151,6,20,942.477796076938,0.0446,65.18
unknown_29,"DC-max 26 S Ø26 mm, CLL precious metal brushes, ball bearings",12,2.19,0.000278,1.49e-06,0.12,0.0256,0.0256,0.84,467.050107833683,0.0222,3.2,13.2,701.62235930172,0.14,107.91
unknown_30,"DC-max 26 S Ø26 mm, CLL precious metal brushes, ball bearings",24,9.08,0.00116,1.52e-06,0.12,0.0522,0.0522,0.562,457.625329872913,0.0108,3.2,13.2,701.62235930172,0.138,107.91
unknown_31,"DC-max 26 S Ø26 mm, CLL precious metal brushes, sintered bearings",12,2.19,0.000278,1.49e-06,0.12,0.0256,0.0256,0.84,467.050107833683,0.0271,3.2,13.2,701.62235930172,0.14,103
